cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
17783,3224,65.0,6,2021,1,0,0,0,0
17757,2065,160.0,12,2016,0,0,0,1,0
17737,1949,120.0,14,2016,0,0,0,1,0
17728,3618,35.0,6,2022,1,0,0,0,0
17706,2951,80.0,8,2019,0,0,0,1,0
17686,1847,105.0,14,2017,0,0,0,1,0
17626,3153,65.0,6,2021,1,0,0,0,0
17581,3057,15.0,8,2021,0,1,0,0,0
17578,2436,105.0,8,2018,1,0,0,0,0
17576,2579,53.0,8,2018,0,0,0,1,0
17540,1827,105.0,14,2018,0,0,0,1,0
17533,1909,135.0,20,2016,0,0,0,1,0
17521,3813,53.0,8,2021,1,1,0,0,0
17456,2503,160.0,8,2020,0,0,0,1,0
17430,1474,135.0,18,2015,0,0,0,1,0
17388,1633,120.0,16,2016,0,0,0,1,0
17313,2927,95.0,8,2019,0,0,0,1,0
17283,2539,140.0,8,2017,1,0,0,0,0
17221,2395,105.0,8,2018,1,0,0,0,0
17213,3023,65.0,6,2021,1,0,0,0,0
17196,2982,45.0,6,2021,0,1,0,0,0
17142,2334,140.0,10,2016,1,0,0,0,0
17132,3048,65.0,6,2021,1,0,0,0,0
17073,2603,15.0,8,2020,0,1,0,0,0
17020,2845,65.0,8,2021,0,1,1,0,0
17017,1549,120.0,8,2020,0,0,0,1,0
16973,2919,65.0,8,2020,1,0,0,0,0
16955,2343,180.0,8,2017,1,0,0,0,0
16946,2922,65.0,8,2020,1,0,0,0,0
16936,2343,165.0,10,2016,0,0,0,1,0
16873,2863,65.0,8,2019,1,0,0,0,0
16745,1613,145.0,18,2016,0,0,0,1,0
16698,2605,65.0,6,2022,1,0,0,0,0
16518,2240,130.0,8,2017,0,0,0,1,0
16458,3148,45.0,6,2021,0,1,0,0,0
16456,2656,53.0,6,2020,1,0,0,0,0
16444,1903,135.0,12,2014,0,0,0,1,0
16428,2664,65.0,6,2020,1,0,0,0,0
16403,3185,45.0,6,2021,0,1,0,0,0
16332,2772,35.0,8,2021,0,1,0,0,0
16306,2186,95.0,8,2017,1,0,0,0,0
16287,1746,105.0,12,2017,0,0,0,1,0
16271,2869,45.0,8,2020,0,1,0,0,0
16186,2646,54.0,8,2021,0,0,1,0,0
16107,1502,120.0,12,2016,0,0,0,1,0
16104,2618,15.0,8,2021,0,1,0,0,0
16073,3061,45.0,6,2021,0,1,0,0,0
16020,3067,28.0,4,2022,0,1,0,0,0
16013,2768,45.0,8,2020,0,1,0,1,0
15920,2653,15.0,8,2022,0,1,0,0,0
15900,3353,65.0,6,2022,0,0,0,1,0
15816,1531,105.0,14,2017,0,0,0,1,0
15801,1739,120.0,14,2014,0,0,0,1,0
15772,1712,85.0,12,2019,0,0,0,1,0
15712,2632,35.0,6,2020,1,0,0,0,0
15679,2810,45.0,8,2020,0,1,0,0,0
15656,2605,35.0,6,2020,1,0,0,0,0
15654,2197,65.0,8,2018,1,0,0,0,0
15577,2658,65.0,6,2020,1,0,0,0,0
15530,2231,95.0,8,2017,1,0,0,0,0
15522,1774,120.0,12,2014,0,0,0,1,0
15511,2562,15.0,8,2020,0,1,0,0,0
15496,2074,95.0,8,2017,1,0,0,0,0
15429,2173,115.0,8,2019,0,0,0,1,0
15426,2778,45.0,8,2020,0,1,0,0,0
15420,1866,85.0,10,2019,0,0,0,1,0
15397,1461,135.0,16,2018,0,0,0,1,0
15373,2965,15.0,6,2021,0,1,0,0,0
15313,2969,45.0,6,2021,0,1,0,0,0
15271,2859,35.0,8,2021,1,0,0,0,0
15254,2884,35.0,6,2021,1,0,0,0,0
15252,2639,80.0,8,2020,0,0,0,1,0
15249,2778,45.0,8,2019,0,1,0,0,0
15248,1790,85.0,12,2020,0,0,0,1,0
15241,2924,15.0,6,2021,0,1,0,0,0
15187,1781,85.0,12,2021,0,0,0,1,0
15147,2349,130.0,8,2020,0,0,0,1,0
15134,2523,35.0,10,2020,1,0,0,0,0
15105,1751,85.0,12,2020,0,0,0,1,0
15099,3050,15.0,6,2022,0,1,0,0,0
15064,2805,45.0,8,2020,0,1,0,0,0
15059,2145,65.0,8,2018,1,0,0,0,0
15038,1897,105.0,14,2016,0,0,0,1,0
15030,1831,100.0,10,2020,0,0,0,1,0
15027,2726,45.0,8,2020,0,1,0,0,0
14991,1363,155.0,16,2019,0,0,0,1,0
14955,3673,60.0,4,2022,1,0,0,0,0
14935,1671,120.0,8,2018,0,0,0,1,0
14931,1709,85.0,12,2018,0,0,0,1,0
14924,2985,125.0,6,2021,1,0,0,1,0
14917,1037,145.0,22,2019,0,0,0,1,0
14879,1688,105.0,12,2019,0,0,0,1,0
14829,1571,120.0,14,2015,0,0,0,1,0
14820,2040,135.0,10,2016,0,0,0,1,0
14812,1897,160.0,10,2014,0,0,0,1,0
14795,2664,35.0,6,2020,0,1,0,0,0
14735,2468,35.0,6,2020,0,1,0,0,0
14735,2461,45.0,6,2020,0,1,0,0,0
14728,2620,45.0,8,2019,0,1,0,0,0
14694,3763,15.1,8,2021,1,1,1,0,0
14682,1718,120.0,12,2015,0,0,0,1,0
14657,2410,45.0,8,2019,1,0,0,0,0
14628,1985,65.0,8,2017,1,0,0,0,0
14590,2026,65.0,8,2017,1,0,0,0,0
14575,2948,125.0,6,2020,1,0,0,0,0
14550,2899,95.0,8,2018,1,0,0,0,0
14550,2895,95.0,6,2018,1,0,0,0,0
14537,1687,120.0,12,2015,0,0,0,1,0
14534,2936,125.0,6,2020,1,0,0,0,0
14503,3549,60.0,4,2022,1,0,0,0,0
14499,2920,95.0,8,2019,1,0,0,0,0
14490,3532,58.0,4,2022,0,0,0,1,0
14439,2060,85.0,8,2019,0,0,0,1,0
14434,1583,105.0,14,2016,0,0,0,1,0
14405,1967,105.0,8,2018,0,0,0,1,0
14384,2846,95.0,6,2019,0,0,0,1,0
14332,2662,130.0,6,2020,0,0,0,1,0
14307,2851,80.0,6,2019,0,0,0,1,0
14291,2361,140.0,8,2016,1,0,0,0,0
14285,1858,85.0,10,2019,0,0,0,1,0
14273,2247,115.0,6,2017,0,0,0,1,0
14256,1558,120.0,14,2017,0,0,0,1,0
14253,2783,15.0,6,2022,0,1,0,0,0
14218,1811,130.0,12,2013,0,0,0,1,0
14206,1643,53.0,12,2013,0,0,0,1,0
14120,2348,140.0,8,2016,0,0,0,1,0
14112,1723,110.0,12,2015,0,0,0,1,0
14109,2592,140.0,6,2017,0,0,0,1,0
14086,3445,80.0,4,2022,0,0,0,1,0
14053,2406,95.0,6,2018,1,0,0,0,0
14050,2825,80.0,6,2019,0,0,0,1,0
13979,2555,45.0,8,2019,0,1,0,0,0
13976,3104,65.0,4,2021,1,0,0,0,0
13965,1872,50.0,8,2019,0,0,0,1,0
13947,2505,35.0,8,2019,1,0,0,0,0
13928,2911,65.0,6,2020,1,0,0,0,0
13917,1695,120.0,12,2014,0,0,0,1,0
13909,2780,95.0,6,2018,0,0,0,1,0
13850,2764,95.0,6,2017,1,0,0,0,0
13846,2158,135.0,8,2016,0,0,0,1,0
13843,3104,35.0,4,2021,1,0,0,0,0
13820,2571,35.0,6,2021,1,0,0,0,0
13799,2859,80.0,6,2020,0,0,0,1,0
13707,3106,35.0,4,2021,1,0,0,0,0
13648,2553,15.0,8,2020,0,1,0,0,0
13643,2749,80.0,6,2018,0,0,0,1,0
13553,2796,35.0,8,2021,0,0,0,1,0
13521,1604,115.0,12,2013,0,0,0,1,0
13489,1578,105.0,12,2016,0,0,0,1,0
13487,1711,105.0,12,2015,0,0,0,1,0
13481,1880,130.0,10,2013,0,0,0,1,0
13462,2796,65.0,8,2019,1,0,0,0,0
13460,2418,15.0,6,2020,0,1,0,0,0
13385,2782,65.0,8,2019,1,0,0,0,0
13371,2894,80.0,6,2019,0,0,0,1,0
13356,2711,80.0,6,2018,0,0,0,1,0
13351,2679,80.0,6,2018,0,0,0,1,0
13340,2193,140.0,8,2016,0,0,0,1,0
13319,2525,65.0,6,2019,1,0,0,0,0
13250,2263,65.0,6,2018,1,0,0,0,0
13214,2127,140.0,8,2015,0,0,0,1,0
13195,2250,65.0,6,2018,1,0,0,0,0
13190,2459,15.0,6,2021,0,1,0,0,0
13189,3244,65.0,4,2022,0,0,0,1,0
13169,1681,85.0,10,2017,0,0,0,1,0
13146,1796,105.0,10,2014,0,0,0,1,0
13139,3055,65.0,4,2021,1,0,0,0,0
13119,2661,35.0,8,2020,1,0,0,0,0
13107,1812,65.0,8,2018,0,0,0,1,0
13078,2549,35.0,6,2021,1,0,0,0,0
13056,2785,65.0,6,2020,1,0,0,0,0
13046,2662,65.0,6,2017,1,0,0,0,0
12969,2030,135.0,10,2017,0,0,0,1,0
12955,2776,45.0,6,2020,0,1,0,1,0
12944,1726,120.0,12,2015,0,0,0,1,0
12943,2183,95.0,6,2017,1,0,0,0,0
12889,2462,15.0,6,2020,0,1,0,0,0
12864,2414,140.0,6,2017,1,0,0,0,0
12836,2515,65.0,6,2019,1,0,0,0,0
12816,2013,75.0,10,2017,0,0,0,1,0
12767,3412,35.0,4,2022,1,0,0,0,0
12746,2689,65.0,4,2020,1,0,0,0,0
12719,1979,140.0,8,2014,1,0,0,0,0
12530,1789,115.0,10,2013,0,0,0,1,0
12503,2074,130.0,8,2014,0,0,0,1,0
12495,1478,115.0,12,2015,0,0,0,1,0
12439,2572,65.0,6,2020,1,0,0,0,0
12438,2274,140.0,6,2017,0,0,0,1,0
12399,1674,105.0,10,2018,0,0,0,1,0
12383,3105,35.0,4,2021,0,1,0,0,0
12360,1976,140.0,8,2014,0,0,0,1,0
12355,2716,45.0,6,2020,0,1,0,0,0
12354,1983,135.0,8,2014,0,0,0,1,0
12334,3422,15.0,2,2022,0,1,1,0,0
12320,2587,65.0,6,2020,1,0,0,0,0
12314,2074,65.0,6,2017,1,0,0,0,0
